,내용
149,조선의 적정인구는 2천만입니다 출산율갤러리와 페미니즘이 연합하여 환경오염을 막고 식량문제를 해결하기 위해저출산을 위해 노력해야합니다 저출산이야말로 일루미나티가 허락한 유일한 마약입니다
150,시간버려 돈버려 환경오염시켜 죽을수도있어 스트레스받아 백해무익인데
151,환경오염때문임오늘부터 종이빨대쓰고 그린피스 지지한다
152,중국은 이제 자기네 땅 오염시키면서 제살 깎아먹기식 채굴할 필요도 없음 근데 콩고 코발트 탄광마냥 현지 환경문제가 심각해져서 지역 여론 좆망하면 테러 날 수도 있겠지
153,그리고 평화적 협상도 재들땜에 맨날 무산되고 이참에 대한민국도 주한미군 철수하면 좋을듯
154,사서 냄비받침으로라도 쓰면 다행이지 뭔 음반을 기부하는 씹년들도 있다고 그러고
155,지들 팬덤 큰거 자랑하겠다고 수십 수백 만장을 컴백 때마다 사고 안 쓰는거 진짜 띵해 ㅋ
156,환경오염되든 뭔상관이냐고대체ㅋ 내가 고통받냐 후손들이 고통받지 뭔상관임ㅋ
157,이렇게 귀여운 생명체가 다시는 자연재해와 환경오염으로부터 고통받지 않기를
158,필요없는 브라 착용죄로 과소비랑 환경오염에 악영향을 미친다고
159,시간버려 돈버려 환경오염시켜 죽을수도있어 스트레스받아 백해무익인데
160,숯은 그냥 탄 나무인데숯 정도는 버리고 가도 되지
161,천달러간다
162,시간버려 돈버려 환경오염시켜 죽을수도있어 스트레스받아 백해무익
163,나랑 비슷한 부자들이랑 힘합쳐서 전쟁일으키거나 세계 인구를 줄여서 환경오염 줄여서 살기 좋은 지구를 만들거나뭐 이거 두가지 밖에 안떠오름
164,ㅋㅋㅋㅋ 글쎄 환경오염으로 산불 폭우 산사태 쓰나미 태풍 한파 폭염 이나 없음 다행일거 같음데
165,성경이나 쿠란등 성서가 계속 갱신었으면
166,환경오염은 존나 잘시킴 그냥 타입썼으면 됬을 문제를
167,환경학자들 빡대가리임? 메탄가스가 어떻게 주범이야;;;;;
168,환경오염 때문에 안캐는거지 막상 중국이 안판다고하면 걍 땅팔껄
169,환경오염의 이유로 소똥의 메탄가스를 꼽는 이유
170,환경오염의 주범은 생태계 다 모든것이 정화된 후 살아남는것은 금속이 될 것이다
171,환경오염과 기후변화는 결국 폭탄돌리기다.
172,으아악 환경오염
173,"천안 벤처기업, 국내 최초 그린수소 발전기 해외 수출길 뜷었다"
174,셰일가스만 영 생산대비 가치가 떨어지는걸로 나왔고 환경오염 문제로 비판이 너무 많음 기존 산유국들 유가 장난질하는것에 제
175,권영세 “與 용산공원 내 공공주택 건설 시도는 입법 도발”
176,하는 짓도 똑같고 핑계도 똑같고 그렇게 환경오염이 걱정되면 기금이라도 조성해서 어획폐기물 감소를 위한 재단이라도 설립하시던
177,근데 섬광의 하사웨이 안에 환경오염이란 주제도 들어 있었나??
178,진짜 채굴하는거 쓰레기네 전기는 전기대로 처쓰고 환경오염시켜 여러가지로 진짜 빨랑 코인 떡락안되나
179,우리나라 환경오염무시하는거 같음
180,맞아 환경오염으로 번개도 멸종위기종 지정되서 요즘 자연산 번개는 보기 힘들어
181,요즘 스마트폰 상황 엄청 짜증나네
182,신재생으로 대체가 죽었다깨나도 불가능해서 효율상 탈원전하면 결국 화력발전으로 충당해야함 결국 환경오염리스크는 안사라짐 노
183,친환경의 딜레마
184,심시티2000에서 이런 방식 발전소 있었는데 마이크로웨이브 뭐였던가 우주에서 발전하고 지상의 수신소로 쏴주는 방식의 발전
185,[군대 이야기] 군대에서 삽질한 이야기
186,채산성을 떠나 저거 개발되면 지금도 지옥인 나라에 환경오염까지 추가네
187,설마 이게 예언서가 될줄이야
188,환경오염
189,일반 개인이 살면서 버리는 쓰레기같은건 환경오염에 안속함?ㅇ
190,환경오염 생각해서 그런지 요즘 기업들이 친환경소재를 쓸 뿐이야
191,건담) 암울함의 끝판왕인 우주세기의 종말.jpg
192,희토류는 사실 별 가치가 없다 저걸 꺼내는 순간 환경오염으로 혁명이 일어날것이다
193,정말 지구에 모든 지구인이 살 수 없을까.
194,600경어치 희토류 환경오염은 어쩌려고 라고 생각하시는 신민들은 황실 직속 치안감찰관 분들께서 곧
195,환경오염 영향력이
196,희토류 환경오염 심각해서 안개발하지 못개발하는게 아님 쓰레기 왕조인가봄
197,코로나는 제발 음모론이 아니길 빈다
198,희토류는 생각보다 많은 곳에 매장되어 있다고 함 채굴을 잘 안 하는 게 없어서가 아니라 그걸 채굴하고 가공하는데 환경오염이 많
199,옛날에 썼던 메모장 속 라노벨[제목:우리들의 이야기]-121
200,영구적으로 말야 지금도 환경오염 문제 없이 생육 방해하는 기술들은 있어 단지 그게 주기적으로 관리를
201,건담) 존나게 암울한 우주세기 건담의 종말.jpg
202,환경오염이란게 결국 지구 전체에 미치는거라 마냥 좋진 않지
203,미래에는 이런 일이 일어날 수 있지 않을까?
204,뭐 진짜 진지하게 50년 이내로 콜로니라도 안 만들면 인류는 말라죽을 판임 환경오염 임계점이 넘어서 환경보호가 쓸모 없는 일은
205,[음식물 쓰레기 전쟁]: 안일한 습관이 빚어낸 최악의 환경 범죄
206,나중에 환경문제에있어 진짜 극단으로 환경파괴되어서 환경오염원을 줄이자고할때도 저 ㅈㄹ 할까봐 벌써부터 갑갑하다
207,음식물 쓰레기 주범은 일상 속 ‘버리는 습관’
208,환경오염때문에 야생 쥐불들이 거의 멸종되서
209,선진국들이 개도국한테 환경오염 문제로 욕하면 안되는 진짜 이유
210,2050년 이후엔 라면값이 한개 천원이 된다 식량생산이 극단적으로 줄어들어서 곡물사료를 소비해서 생산해야하는 대규모 축산업
211,소고기때문에 환경오염이 된다는말 들을때마다 딴나라 이야기같은게
212,저거우리잔음 문명의힘막휘두르다가 환경오염으로 쥿되는거 못 막는데 문명을 버릴 순 없음
213,근데 환경오염 걱정한다고 해도 내가 뭘 할수가 있을까?
214,대신 캐기 시작하면 엄청난 환경오염이
215,베스트에 낙농업 문제는 실제로 문제긴 함
216,미국 중국 인도 환경오염 삼대장
217,[열린마당] 지구의 허파인 ‘숲’ 보존 중요 노령화 대비 녹화사업 준비를
218,선진국들이 더 많이 내야죠 동북아 동남아 동유럽 생산직들 급여 싼곳에 공장 몰아서 생산된거 싼값에 편하게 이용해놓고 너
219,"샤워플러스, 에콜그린텍과 정수필터 개발 위한 업무협약 체결"
220,답이 없는 문제지 선진국이 산업 혁명 후에 식민지 까지 털어가면서 환경오염시키며 쭉 발전햇고 후진국들은 이제 좀 올라오려
221,ㄴ환경오염을 걱정하는 글이면 유게 전원 암컷절정
222,지금 바다에 풍등 버리시는거에요 환경오염인거 몰라욧
223,스포] '기생수'에서 둠 코믹스 같았던 부분
224,미국하고 중국에겐 한마디도 못하면서 만만한 개발도상국에게만 환경오염이야기 하는 국제기구 수준 ㅋㅋ 산림 벌채로 먹고 사는 나라
225,비건 플라스틱이 온다 [우리가 몰랐던 과학 이야기] (203)
226,엩 아니 그럼 개인소장용 판매물품을 빼앗으라는 거냐 기왕 좋은 일 하시는 거 환경오염 없게 돈만 내시죠 이거냐
227,"이재명, 윤석열 향해 “부정식품 선택권? 독약은 약 아냐”"
228,아니 긍정적인 부분이잖아 환경오염 걱정하는거
229,"이재명, 윤석열 ‘부정식품’ 발언 관련 “독약은 약 아니다”"
230,현재 인류 과학기술로는 공장제품을 만드는데 환경오염은 필수불가결인데 우리 고귀한 유럽아들은 환경 복지는 누리고 싶고 관광
231,지구에 환경오염이 심해..
232,핸드폰 1년단위로 출시하는 것좀 멈추면 안되나 환경오염 너무 심한거 같은데
233,"식용곤충, 미래 먹거리로 주목… 판로 개척 큰 과제 [이슈 속으로]"
234,서울이 사람으로 너무 꽉차고 환경오염 너무 일어나니깐 서울로 오는 화물차 경유차 막듯이 정부가 더이상 살 집이 없도록 부
235,저번에 유튭보이깐 곰팡이로 플라스틱 대체하는 기술이 있더라
236,지온색기들이 콜로니를 떨어뜨려준 덕분에 환경오염이 미친듯이 가속화된거 아니냐 콜로니 낙하만 아니었어도 적어도 수백년은 시간을
237,건담) 진정한 치료용 건담
238,결론부터 따지면 지구 환경오염을 가속시킨 지온이 씹새1끼들 맞잖아
239,1980년대 vs 현재 어디서 살고 싶음?
240,에당초 콜로니 만들어서 우주이민 장려하게된 원흉이 환경오염으로 인한거였으니 어찌보면 아이러니 그자체
241,[사설] 평택기지 완공된 게 언제인데… 용산기지 반환 속도내야
242,지금 생각하면 건담은 우주세기를 정면으로 카운터 치는 작품이었음 우주세기 지구인이 콜로니인을 착취 건담 환경오염으로 콜
243,연말 추가 반환 기지 윤곽… 환경오염 정화 놓고 공방 불가피
244,그분이 옳으시긴 저 올빽머리 마망충 색히가 루나5 떨군 바람에 지구환경오염 더 가속화된건데 이거 완전 네오지온 끄나풀 아
245,교도소 부족이면 지어도 되겠네
246,언젠가 플라스틱빨대는 거북이등 바다의 동물들을 위협하는 환경오염물이다는 한 그로테스크한 영상이 전세계적
247,환경을 위해 1순위로 없앴으면 하는거
248,제발 징벌적 환경오염 부담금 내면서 혼자 내연기관차 천년 만년 타고 다니시길…
249,주식에 관심이 생기니까 전기차에 관심이 생기고 전기차에 관심이 생기니까
250,중국이라는 걸 감안하고서라도 만충 130키로정도 가는 차가 깡통차라지만 500만원임 그리고 2030년대까지 대부분 완성차 업
251,"건담, 섬광의 하사웨이) 마프티는 에코 파시즘에 쩔은 테러단체?(스포 주의)"
252,제가 알기론 오히려 인터넷 산업이 더 일자리 창출이 많은걸로 알고 있습니다 쇼핑몰만 해도 쇼핑사이트 만들고 관리하는 인력만이
253,"대구 달성군, 고형연료제품 사용 불허가처분취소 승소"
254,쟤네 환경오염 때문에 남자들 불임률이 엄청나다고 들었는데
255,[나는 어디에 있는가?]: 코로나 사태와 격리가 지구생활자들에게 주는 교훈
256,음 저 커피 찌꺼기 도심지에서는 처리방법이 어려워서 쓰레기로 버리지만 걍 땅에 뿌리면 좋은 비료 되는거 아님 걍 수거업체가
257,이쯤에서 다시 보는 이낙연 지도부.jpg
258,할수없지 공무집행이 왜 공무집행이야 공무원이 생각하기에 공격을 막을수있는 유일한전력을 포섭해왔는데 환경단체가 그거환
259,의외로 하사웨이가 대단한 이유.JPG
260,뭐 그렇긴 한데 환경오염이 저거 때문에 심해진다면 피해는 우리도 보는거겠지
261,티비 트니까 마스크 광고가 나오네
262,그 중국 공산품들 절반이상이 선진국 사람들 쓰이기위해 만들어지는거임 사실상 중국이 대신 환경오염시켜주는격
263,코인]머스크 저점매수했나보네
264,중국도 사막화랑 환경오염으로 식수가 없어서 러시아에서 훔쳐오려다가 걸렸어
265,에어컨을 틀면 왜 지구가 나빠진다는걸까?
266,중국 형식적으로는 환경보호하는 척은 하고 들키면 부끄러워하는 시늉이라도 한다 미국 아 까 뒤져도 우리가 뒤지는 거지 환
267,코로나국 홍수 대박이구만
268,헤도라 같은 괴수도 나오면 괜찮을텐데 환경오염에 대한 경각심도 일깨우고 무엇보다 헐리우드의 기술력으로 재현된 모습이 보고
269,[스압] 이낙연 당대표 재임기간 중 본회의 통과한 법률.list
270,지구가 환경오염으로 생태계 전멸위기에 처하면 75퍼는 중국탓이다
271,기후변화에 대해 사람들이 대체로 하는 착각
272,애초에 우주이민 시작한것 자체가 지구를 너무 써서 자원도 고갈되고 환경오염도 심각해져서 그럼 그러다 전쟁 터져서 더 심각해지고
273,로아)부서진 빙하의 섬도 노래좋네
274,ㅇㅇ 글킨 함 우주세기 이전부터 환경오염 문제가 심각했다면 모르지만 그런 묘사는 없더라고
275,"외식업계, ‘비건’ 열풍 속 다양한 식물성 단백질 제품 선보여"
276,너 때문에 세제 낭비 심해지고 환경오염 으로 지구가 파괴 되는거다
277,"쿠팡, 'ESG경영' 관심도 1위…11번가 > 이베이코리아 > 위메프 > 티몬 >..."
278,경제 는 모르겠다 그래도 환경오염이랑 자원소비량이 줄긴하겠지
279,"경북도, 오염물질 배출업소 점검했더니… 62%가 규정 위반"
280,레딧에 저 바나나 포장 글은 쓸데없이 플라스틱 포장 추가하고 환경오염 한다는 댓글이 대부분이었음
